"pairs","R2","p.value","q.value","site"
"BL_vs_T04",0.0100216430117216,0.783,0.889,"VA"
"BL_vs_T12",0.00910798683325002,0.889,0.889,"VA"
"BL_vs_T24",0.0251560041684201,0.206,0.422,"VA"
"T04_vs_T12",0.00555399133507286,0.752,0.889,"VA"
"T04_vs_T24",0.0105667025184031,0.211,0.422,"VA"
"T12_vs_T24",0.017831571559495,0.107,0.422,"VA"
