"pairs","R2","p.value","q.value","site"
"BL_vs_T04",0.0153814231041886,0.44,0.734,"UR"
"BL_vs_T12",0.012046510053357,0.734,0.734,"UR"
"BL_vs_T24",0.0149778028212283,0.647,0.734,"UR"
"T04_vs_T12",0.010786005284161,0.205,0.734,"UR"
"T04_vs_T24",0.0105920167311598,0.486,0.734,"UR"
"T12_vs_T24",0.0108477877562677,0.524,0.734,"UR"
