"pairs","R2","p.value","q.value","site"
"BL_vs_T04",0.017723060920447,0.628,0.986,"GUT"
"BL_vs_T12",0.0165868788028282,0.908,0.986,"GUT"
"BL_vs_T24",0.0158967392523904,0.986,0.986,"GUT"
"T04_vs_T12",0.0169389178706394,0.403,0.986,"GUT"
"T04_vs_T24",0.0162717521432407,0.721,0.986,"GUT"
"T12_vs_T24",0.0148362554255709,0.92,0.986,"GUT"
