Factor,estimate,.y.,group1,group2,n1,n2,statistic,p,conf.low,conf.high,method,alternative,p.adj,Mean1,Mean2,Mean.diff.log,comparisons,lab.p.adj,lab.p,label,Sites
Bacteroides_fragilis,0.0342107098665934,Value,BL,T04,20,20,109,0.898,-0.28418331536031,0.25915999130884,Wilcoxon,two.sided,0.99807,-2.63039018248033,-2.62440783642739,0.00596452286843615,BL/T04,ns,ns,ns/ns,VA
Bacteroides_intestinalis,-0.0651344242054642,Value,BL,T04,20,20,86,0.498,-0.423674703735323,0.123002260418003,Wilcoxon,two.sided,0.99807,-2.72102763460919,-2.61575881556512,0.100088580536118,BL/T04,ns,ns,ns/ns,VA
Bacteroides_nordii,0.117090955654526,Value,BL,T04,20,20,133,0.312,-0.10456136191951,0.368445997736886,Wilcoxon,two.sided,0.99807,-2.67921833417922,-2.81215401475998,-0.124812211308899,BL/T04,ns,ns,ns/ns,VA
Bacteroides_ovatus,0.0582181108762971,Value,BL,T04,20,20,119,0.622,-0.261484944978706,0.413330777137033,Wilcoxon,two.sided,0.99807,-2.47532591608203,-2.5163513444766,-0.0402062162265003,BL/T04,ns,ns,ns/ns,VA
Bacteroides_salyersiae,0.0735538436205417,Value,BL,T04,20,20,119,0.622,-0.212562668593828,0.30662999923817,Wilcoxon,two.sided,0.99807,-2.68192186926374,-2.74058433310814,-0.0570062847886314,BL/T04,ns,ns,ns/ns,VA
Bacteroides_sp_AF16_49,-0.162362472809122,Value,BL,T04,20,20,76,0.294,-0.496688600325654,0.135501042119696,Wilcoxon,two.sided,0.99807,-2.97068819926295,-2.7783606780925,0.175907296984462,BL/T04,ns,ns,ns/ns,VA
Bacteroides_stercoris,-0.0931581122282102,Value,BL,T04,20,20,87,0.522,-0.47514378617959,0.152108231379913,Wilcoxon,two.sided,0.99807,-2.37506029008025,-2.18417184937073,0.174699617396165,BL/T04,ns,ns,ns/ns,VA
Bacteroides_thetaiotaomicron,-0.0490460093729598,Value,BL,T04,20,20,91,0.622,-0.234401822022349,0.159139994415261,Wilcoxon,two.sided,0.99807,-2.40699762749563,-2.36179293861479,0.0442127407629914,BL/T04,ns,ns,ns/ns,VA
Bacteroides_uniformis,-0.127410988493205,Value,BL,T04,20,20,58,0.0826,-0.235756225225362,0.0108522445787521,Wilcoxon,two.sided,0.99807,-2.11702840327742,-1.9619211984408,0.14419315770679,BL/T04,ns,ns,ns/ns,VA
Bacteroides_xylanisolvens,-0.132949745198577,Value,BL,T04,20,20,65,0.143,-0.386495185237789,0.0749471179900651,Wilcoxon,two.sided,0.99807,-2.57497058003538,-2.39634813133748,0.164346340158584,BL/T04,ns,ns,ns/ns,VA
Barnesiella_intestinihominis,-0.112615170976989,Value,BL,T04,20,20,71,0.216,-0.38211827761973,0.087664171554493,Wilcoxon,two.sided,0.99807,-2.66266547229733,-2.4248745683686,0.213328261716974,BL/T04,ns,ns,ns/ns,VA
Bifidobacterium_adolescentis,0.0319759561922055,Value,BL,T04,20,20,113,0.784,-0.215087373265805,0.293457199836729,Wilcoxon,two.sided,0.99807,-2.75688453312749,-2.79936424653224,-0.041602214937687,BL/T04,ns,ns,ns/ns,VA
Bifidobacterium_bifidum,0.0988842991991399,Value,BL,T04,20,20,123,0.522,-0.215300034785194,0.464631068012104,Wilcoxon,two.sided,0.99807,-2.67893621685221,-2.81136871649923,-0.124367973638037,BL/T04,ns,ns,ns/ns,VA
Bifidobacterium_longum,-0.077306812531782,Value,BL,T04,20,20,78,0.33,-0.294250244434293,0.11474568668265,Wilcoxon,two.sided,0.99807,-2.79666840689161,-2.71597936571292,0.0775988387913401,BL/T04,ns,ns,ns/ns,VA
Bifidobacterium_pseudocatenulatum,-0.0496570927431684,Value,BL,T04,20,20,97,0.784,-0.348378489753116,0.383513284346017,Wilcoxon,two.sided,0.99807,-2.68924661282555,-2.74770823493789,-0.0568165540742067,BL/T04,ns,ns,ns/ns,VA
Bilophila_wadsworthia,-0.201724169335587,Value,BL,T04,20,20,53,0.0532,-0.382164308914095,0.0120415212381288,Wilcoxon,two.sided,0.977426086956522,-2.67358806598924,-2.53444644195384,0.130275017416154,BL/T04,ns,ns,ns/ns,VA
Blautia_caecimuris,0.121522925439675,Value,BL,T04,20,20,133,0.312,-0.133349958212081,0.311181854438654,Wilcoxon,two.sided,0.99807,-2.67744324723142,-2.73208494397645,-0.0532010853044023,BL/T04,ns,ns,ns/ns,VA
Blautia_faecicola,0.290831463959077,Value,BL,T04,20,20,137,0.245,-0.24165294618183,0.724190814945295,Wilcoxon,two.sided,0.99807,-2.82557820660054,-3.01977831108361,-0.17747659262286,BL/T04,ns,ns,ns/ns,VA
Blautia_faecis,-0.092402408466288,Value,BL,T04,20,20,85,0.475,-0.360427921460378,0.175933911644495,Wilcoxon,two.sided,0.99807,-2.79480091929713,-2.70878301107338,0.0825177114529025,BL/T04,ns,ns,ns/ns,VA
Blautia_glucerasea,0.28454851524661,Value,BL,T04,20,20,154,0.0696,-0.0413523915285856,0.596585611901992,Wilcoxon,two.sided,0.977426086956522,-2.67859061845192,-2.94712841280746,-0.237864894138806,BL/T04,ns,ns,ns/ns,VA
Blautia_hansenii,-0.00902460690726137,Value,BL,T04,20,20,102,0.927,-0.27986819444521,0.279780291597007,Wilcoxon,two.sided,0.99807,-2.7233044462288,-2.7328720861507,-0.00952215991582045,BL/T04,ns,ns,ns/ns,VA
Blautia_luti,-0.0195071289027933,Value,BL,T04,20,20,97,0.784,-0.217109809017789,0.172851293824616,Wilcoxon,two.sided,0.99807,-2.73622688185622,-2.71164923377383,0.024280477022851,BL/T04,ns,ns,ns/ns,VA
Blautia_massiliensis,0.0882413941051748,Value,BL,T04,20,20,124,0.498,-0.203523839223475,0.289035905187025,Wilcoxon,two.sided,0.99807,-2.71759540016032,-2.75815994078575,-0.0397633934001609,BL/T04,ns,ns,ns/ns,VA
Blautia_obeum,0.0225180160463312,Value,BL,T04,20,20,115,0.729,-0.15652882209545,0.253176240433368,Wilcoxon,two.sided,0.99807,-2.75027091241634,-2.81055180959493,-0.058533870356673,BL/T04,ns,ns,ns/ns,VA
Blautia_sp_MSK_20_85,0.202915722264666,Value,BL,T04,20,20,136,0.261,-0.146151878310939,0.676864478028744,Wilcoxon,two.sided,0.99807,-2.73367298097357,-3.05932517972335,-0.281904563806498,BL/T04,ns,ns,ns/ns,VA
Blautia_stercoris,-0.0955533384786674,Value,BL,T04,20,20,84,0.452,-0.49290540002275,0.19816514791348,Wilcoxon,two.sided,0.99807,-2.93669354384729,-2.74941483195711,0.171663891679777,BL/T04,ns,ns,ns/ns,VA
